Order_ID,Date,Product,Region,Quantity,UnitPrice,Total_Sales
1000,2025-01-01,Croissant,South,2,290.0,580.0
1001,2025-01-02,Matcha Latte,West,3,260.0,780.0
1002,2025-01-03,Cold Brew,West,4,180.0,720.0
1003,2025-01-04,Matcha Latte,North,4,290.0,1160.0
1004,2025-01-05,Matcha Latte,South,1,180.0,180.0
1005,2025-01-06,Latte,North,4,220.0,880.0
1006,2025-01-07,Cold Brew,East,3,220.0,660.0
1007,2025-01-08,Cold Brew,East,2,150.0,300.0
1008,2025-01-09,Cold Brew,North,1,290.0,290.0
1009,2025-01-10,Matcha Latte,West,1,180.0,180.0
1010,2025-01-11,Croissant,West,2,260.0,520.0
1011,2025-01-12,Cold Brew,North,4,220.0,880.0
1012,2025-01-13,Matcha Latte,North,2,220.0,440.0
1013,2025-01-14,Latte,East,4,260.0,1040.0
1014,2025-01-15,Croissant,West,2,180.0,360.0
1015,2025-01-16,Latte,North,3,180.0,540.0
1016,2025-01-17,Croissant,East,4,290.0,1160.0
1017,2025-01-18,Matcha Latte,West,3,290.0,870.0
1018,2025-01-19,Espresso,South,1,150.0,150.0
1019,2025-01-20,Croissant,East,2,220.0,440.0
1020,2025-01-21,Latte,West,1,290.0,290.0
1021,2025-01-22,Matcha Latte,West,1,180.0,180.0
1022,2025-01-23,Croissant,East,1,260.0,260.0
1023,2025-01-24,Espresso,South,1,180.0,180.0
1024,2025-01-25,Espresso,East,2,220.0,440.0
1025,2025-01-26,Cold Brew,West,1,180.0,180.0
1026,2025-01-27,Cold Brew,North,2,150.0,300.0
1027,2025-01-28,Latte,North,2,220.0,440.0
1028,2025-01-29,Croissant,East,3,260.0,780.0
1029,2025-01-30,Croissant,West,4,150.0,600.0
1030,2025-01-31,Cold Brew,North,4,220.0,880.0
1031,2025-02-01,Croissant,West,2,260.0,520.0
1032,2025-02-02,Croissant,East,3,150.0,450.0
1033,2025-02-03,Espresso,North,2,150.0,300.0
1034,2025-02-04,Cold Brew,West,2,220.0,440.0
1035,2025-02-05,Matcha Latte,North,2,290.0,580.0
1036,2025-02-06,Cold Brew,East,3,150.0,450.0
1037,2025-02-07,Matcha Latte,West,4,150.0,600.0
1038,2025-02-08,Espresso,North,3,260.0,780.0
1039,2025-02-09,Latte,East,1,180.0,180.0
1040,2025-02-10,Croissant,North,3,220.0,660.0
1041,2025-02-11,Espresso,North,3,220.0,660.0
1042,2025-02-12,Croissant,South,3,290.0,870.0
1043,2025-02-13,Latte,South,3,290.0,870.0
1044,2025-02-14,Latte,East,4,220.0,880.0
1045,2025-02-15,Espresso,South,1,290.0,290.0
1046,2025-02-16,Latte,East,4,260.0,1040.0
1047,2025-02-17,Matcha Latte,South,4,220.0,880.0
1048,2025-02-18,Latte,North,3,290.0,870.0
1049,2025-02-19,Croissant,East,2,220.0,440.0
1050,2025-02-20,Croissant,East,2,180.0,360.0
1051,2025-02-21,Croissant,North,4,150.0,600.0
1052,2025-02-22,Croissant,East,4,220.0,880.0
1053,2025-02-23,Matcha Latte,East,3,150.0,450.0
1054,2025-02-24,Cold Brew,South,4,290.0,1160.0
1055,2025-02-25,Espresso,East,3,150.0,450.0
1056,2025-02-26,Croissant,West,2,220.0,440.0
1057,2025-02-27,Latte,North,2,180.0,360.0
1058,2025-02-28,Croissant,South,1,290.0,290.0
1059,2025-03-01,Latte,South,2,220.0,440.0
1060,2025-03-02,Latte,West,4,290.0,1160.0
1061,2025-03-03,Croissant,North,2,260.0,520.0
1062,2025-03-04,Matcha Latte,North,3,150.0,450.0
1063,2025-03-05,Latte,South,2,260.0,520.0
1064,2025-03-06,Latte,East,1,220.0,220.0
1065,2025-03-07,Croissant,South,2,180.0,360.0
1066,2025-03-08,Latte,North,3,290.0,870.0
1067,2025-03-09,Latte,West,3,150.0,450.0
1068,2025-03-10,Croissant,South,4,290.0,1160.0
1069,2025-03-11,Croissant,North,2,220.0,440.0
1070,2025-03-12,Espresso,South,3,290.0,870.0
1071,2025-03-13,Matcha Latte,East,1,150.0,150.0
1072,2025-03-14,Matcha Latte,South,4,220.0,880.0
1073,2025-03-15,Latte,South,1,290.0,290.0
1074,2025-03-16,Matcha Latte,North,2,180.0,360.0
1075,2025-03-17,Latte,North,2,220.0,440.0
1076,2025-03-18,Espresso,North,2,220.0,440.0
1077,2025-03-19,Croissant,South,4,180.0,720.0
1078,2025-03-20,Croissant,East,3,260.0,780.0
1079,2025-03-21,Croissant,West,4,150.0,600.0
1080,2025-03-22,Matcha Latte,West,1,260.0,260.0
1081,2025-03-23,Espresso,North,4,290.0,1160.0
1082,2025-03-24,Matcha Latte,North,1,180.0,180.0
1083,2025-03-25,Matcha Latte,South,4,260.0,1040.0
1084,2025-03-26,Espresso,West,3,220.0,660.0
1085,2025-03-27,Espresso,North,1,290.0,290.0
1086,2025-03-28,Espresso,East,2,290.0,580.0
1087,2025-03-29,Espresso,East,2,260.0,520.0
1088,2025-03-30,Croissant,North,4,260.0,1040.0
1089,2025-03-31,Cold Brew,North,2,180.0,360.0
1090,2025-04-01,Cold Brew,West,1,150.0,150.0
1091,2025-04-02,Espresso,West,2,260.0,520.0
1092,2025-04-03,Cold Brew,South,3,260.0,780.0
1093,2025-04-04,Cold Brew,West,3,220.0,660.0
1094,2025-04-05,Espresso,East,4,290.0,1160.0
1095,2025-04-06,Cold Brew,East,1,150.0,150.0
1096,2025-04-07,Matcha Latte,North,3,220.0,660.0
1097,2025-04-08,Latte,West,3,180.0,540.0
1098,2025-04-09,Latte,South,1,180.0,180.0
1099,2025-04-10,Espresso,East,2,260.0,520.0
1100,2025-04-11,Croissant,East,2,260.0,520.0
1101,2025-04-12,Espresso,South,4,180.0,720.0
1102,2025-04-13,Croissant,South,2,260.0,520.0
1103,2025-04-14,Latte,East,1,150.0,150.0
1104,2025-04-15,Espresso,East,3,260.0,780.0
1105,2025-04-16,Matcha Latte,South,2,290.0,580.0
1106,2025-04-17,Cold Brew,East,4,260.0,1040.0
1107,2025-04-18,Croissant,North,2,220.0,440.0
1108,2025-04-19,Cold Brew,North,1,150.0,150.0
1109,2025-04-20,Cold Brew,South,4,220.0,880.0
1110,2025-04-21,Espresso,West,2,220.0,440.0
1111,2025-04-22,Cold Brew,South,4,290.0,1160.0
1112,2025-04-23,Matcha Latte,South,1,150.0,150.0
1113,2025-04-24,Cold Brew,West,3,150.0,450.0
1114,2025-04-25,Espresso,West,1,150.0,150.0
1115,2025-04-26,Matcha Latte,West,1,150.0,150.0
1116,2025-04-27,Latte,North,1,150.0,150.0
1117,2025-04-28,Cold Brew,East,1,290.0,290.0
1118,2025-04-29,Espresso,North,3,260.0,780.0
1119,2025-04-30,Latte,East,3,220.0,660.0
1120,2025-05-01,Latte,North,4,150.0,600.0
1121,2025-05-02,Croissant,East,2,260.0,520.0
1122,2025-05-03,Matcha Latte,North,3,260.0,780.0
1123,2025-05-04,Cold Brew,West,3,220.0,660.0
1124,2025-05-05,Espresso,South,2,290.0,580.0
1125,2025-05-06,Croissant,North,3,180.0,540.0
1126,2025-05-07,Matcha Latte,East,1,180.0,180.0
1127,2025-05-08,Croissant,West,1,260.0,260.0
1128,2025-05-09,Matcha Latte,North,2,220.0,440.0
1129,2025-05-10,Matcha Latte,North,4,180.0,720.0
1130,2025-05-11,Cold Brew,West,4,260.0,1040.0
1131,2025-05-12,Matcha Latte,North,2,290.0,580.0
1132,2025-05-13,Croissant,South,2,180.0,360.0
1133,2025-05-14,Matcha Latte,North,1,260.0,260.0
1134,2025-05-15,Cold Brew,South,4,260.0,1040.0
1135,2025-05-16,Cold Brew,South,3,150.0,450.0
1136,2025-05-17,Croissant,West,1,290.0,290.0
1137,2025-05-18,Latte,North,2,150.0,300.0
1138,2025-05-19,Latte,West,4,220.0,880.0
